name,price,status,shipping,free_returns,items_sold
Canon AE-1 35mm SLR Film Camera with Canon 50mm f/1.8 FD Lens - WORKING PERFECT!,28999,Excellent - Refurbished,0,True,1089
Vtg Panoramic Film Camera 35mm Black Strap Works Lightweight MCM 4.5x3” Rare ,36200,Pre-Owned,1000,False,0
Canon AE-1 35mm SLR Film Camera W/ 50mm FD Film Tested & Working Great!,19999,Pre-Owned,1699,False,0
[NEAR MINT] Canon AF35M Autoboy Sure Shot point & shoot 35mm Film Camera JAPAN,9499,Pre-Owned,2999,True,289
Canon AF35M Autoboy [ MINT ] Point & Shoot 35mm Film Camera From Japan🎦,14499,Pre-Owned,3499,True,151
Canon AE-1 35mm Film Camera + 50mm f/1.8 Lens TESTED WORKING No Squeal + Battery,17999,Pre-Owned,1699,False,0
Canon AE-1 Program Black 35mm SLR Film Camera w/ 50mm f/1.8 FD Lens - WORKING !,30899,Excellent - Refurbished,0,True,126
Canon AE-1 Program 35mm SLR Film Camera W/50mm 1:1.8 Lens Film Tested & Working!,19999,Pre-Owned,1699,False,0
Canon A-1 A1 Film Camera with Canon 50mm f/1.8 or f/2.0 Lens - Very Good,30828,,,False,573
Canon AE-1 35mm SLR Film Camera with Canon 50mm f/1.8 FD Lens - WORKING PERFECT!,28999,,,False,1089
"Kodak M38 35mm Film Camera - Focus Free, Powerful Built-in Flash, Easy to Use",3490,,,False,0
Black Canon AE1 AE-1 Program Film Camera Manual Focus Camera Body Only (no lens),25828,,,False,0
Olympus OM-1 OM-1n M-1 w/ optional fast 50mm f/1.4 kit in Chrome or Black,25828,,,False,0
Pentax Black ME 35mm SLR Camera Kit w/ 50mm Lens - Great student camera,19828,,,False,0
Minolta Maxxum Dynax 9 xi 35mm Film Camera w/ 35-80mm Lens [EXC] From Japan,9499,,,False,0
[NEAR MINT] Canon AF35ML Point & Shoot 35mm Film Camera From JAPAN,9999,Pre-Owned,2999,True,53
Nikon One Touch Zoom AF 35mm Point & Shoot Camera 38-70mm  TESTED WORKING,1995,Pre-Owned,795,False,0
Canon A-1 A1 Film Camera with Canon 50mm f/1.8 or f/2.0 Lens - Very Good,30828,Very Good - Refurbished,,True,573
Olympus mju Stylus Zoom 105 35mm Film Camera Point & Shoot AF Tested Working,13600,Pre-Owned,1400,True,0
"Kodak M38 35mm Film Camera - Focus Free, Powerful Built-in Flash, Easy to Use",3490,Brand New,0,False,0
Olympus Stylus Mj II 35mm Film Camera Point & Shoot Tested Working,20000,Pre-Owned,872,False,0
Pentax Asahi  K1000 35mm Film Camera W/50mm Lens Film Tested & Working Great!,19999,Pre-Owned,1699,False,0
Olympus OM-10 35mm SLR Film Camera with 50 mm lens Kit TESTED AND WORKING,12999,Pre-Owned,1129,False,0
Nikon Tele Touch 300 AF Point & Shoot 35mm Film Camera Macro Lens W/ Battery ,4800,Pre-Owned,926,False,0
Holga 120N Medium Format Film Camera (Black) with 120 Film Bundle,4495,Brand New,0,True,171
Canon AE-1 Black 35mm Film Camera  50mm f/1: 1.4S.C. Lens JAPAN,14999,Pre-Owned,1795,False,0
[No extra costs]Nikon FE Black 35mm Film Camera Ai Nikkor 50mm f/1.8 JAPAN Exc+5,24999,Pre-Owned,0,True,0
