name,price,status,shipping,free_returns,items_sold
VTG Express Tricot 90s Ribbed Knit Tunic Sweater Women SZ Large GrannyCore Mauve,1999,Pre-Owned,703,False,0
Blue Knit Pullover Sweater Geometric Pattern Crew Neck Long Sleeve Size S,1000,Pre-Owned,872,False,0
Vince Camuto Knit Gray Cowl Neck Pullover Sweater Women’s Long Sleeve Size L,2000,Pre-Owned,872,False,0
Blue Knit Pullover Sweater Women's Size S Crew Neck Long Sleeve Solid,800,Pre-Owned,872,False,0
Marled Knit Pullover Sweater Cowl Neck Side Vent Slits Beige Women's M,1000,Pre-Owned,872,False,0
Black Knit Pullover Crew Neck Long Sleeve Sweater Women's Size S,1000,Pre-Owned,872,False,0
Entro Brown Floral Embroidered Knit Pullover Sweater Mock Neck Sleeveless L,2000,Pre-Owned,872,False,0
Women's V-Neck Cropped Knit Cardigan Hollow Out Long Sleeve Button Down Sweater,2599,Brand New,0,False,0
"2 Mens  Pringle Crewneck L,XL Stone and Blue Striped  Sweaters 2pack for $28 NWT",3000,,,False,0
Polo Ralph Lauren Women’s Cotton Cable Knit Crew Neck Sweater White Size S NWT,8900,,,False,0
Polo Ralph Lauren Women’s Cotton Cable Knit Crew Neck Sweater White Size XS NWT,8400,,,False,0
Harry Potter Men's Hogwarts Houses Design Ugly Holiday Knit Sweater,3999,,,False,0
Weatherproof Vintage Men's Flannel lined 1/4 zip Sweater,2499,,,False,0
"Weatherproof Vintage Men's Fair Isle 1/4 Zip Pullover Sweater, Blue, VARIATION",2499,,,False,0
Stranger Things Ugly Sweater Men's The Upside Down Holiday Knit Pullover,4999,,,False,0
Gap Men's Lightweight Pullover Regular Fit Crewneck Sweater,1699,,,False,0
Cream Knit Sweater Women’s Chunky Cable Knit Ripped Grunge Oversized Pullover,2500,Pre-Owned,926,False,0
Sweet Romeo Acrylic Burgundy Pullover Sweater Crew Neck S Long Sleeve SR9617,500,Pre-Owned,608,False,0
Natural Reflections Blue Waffle-Knit Pullover Sweater Crew Neck Side Slit S,1200,Pre-Owned,872,False,0
Striped Ribbed Knit Mock Neck Pullover Sweater White Black Women's Long Sleeve,915,New (Other),846,False,0
Aerie Knit Pullover Sweater Crew Neck Tan Women's XS Raglan Sleeve,810,Pre-Owned,872,False,0
bape sweater,10000,Pre-Owned,0,False,0
BCBG Knit Sweater Dress with Embellished Feather Broach,2099,BCBGMAXAZRIA,1296,False,0
"2 Mens  Pringle Crewneck L,XL Stone and Blue Striped  Sweaters 2pack for $28 NWT",3000,Brand New,0,False,0
Time and Tru Cable-Knit Pullover Sweater Black Crew Neck Women’s Size S,1200,Pre-Owned,872,False,0
Ralph Lauren Cable-Knit Crew Neck Purple Cotton Sweater Women’s Size S,2500,Pre-Owned,1000,False,0
Tahari Women's Beige Knit Pullover Sweater Short Sleeve Rayon Polyester Size L,2397,New (Other),608,False,0
White Cream Wooden Button Cardigan Woman’s Sz Small,1200,Pre-Owned,577,False,0
Astrologie XXL Women's Gray Intarsia Knit Pullover Sweater Dog Motif Rayon Blend,3500,Brand New,865,False,0
Off The Shoulders Alaska Sweater ,1500,Pre-Owned,683,False,0
Poetry Navy Blue Ribbed Knit Cotton Pullover Sweater Women's Size 16,3000,Pre-Owned,651,False,0
Lucky Brand Ocean Deep Cable-Knit Pullover Sweater Mock Neck Sleeveless M,3000,Brand New,872,False,0
"2 Mens  Pringle Crewneck L,XL Stone and Blue Striped  Sweaters 2pack for $28 NWT",3000,,0,False,0
A New Day Women's Double Knit Zip Hoodie Sweatshirt Rust Size L,1695,,0,False,0
Weatherproof Vintage Men's Flannel lined 1/4 zip Sweater,2499,,0,False,0
Polo Ralph Lauren Women’s Cotton Cable Knit Crew Neck Sweater Gray Size XS NWT,7900,,0,False,0
Gap Men's Lightweight Pullover Regular Fit Crewneck Sweater,1699,,0,False,0
GAP Men's Long Sleeve Seed Stitch Crew Neck Ribbed Cuffs Sweater,1999,,0,False,0
Polo Ralph Lauren Women’s Pima Cotton Short Sleeve Cable Knit WHIRE XS NWT,7400,,0,False,0
"Legendary Outfitters Women's Cozy Cable Knit Sweater, Garnet, Size XXL",1795,,0,False,0
St. John's Bay Gray Knit Pullover Sweater S Long Sleeve Polyester Spandex Ribbed,2000,Pre-Owned,872,False,0
Liz Claiborne Gray Knit Pullover Sweater Boat Neck Long Sleeve XS Women,1200,Pre-Owned,872,False,0
Tahari Women's Black Knit Pullover Sweater Short Sleeve Rayon Polyester Size L,2397,New (Other),608,False,0
St. John's Bay Women's Burgundy Cable Knit Pullover Sweater V-Neck Size S,1500,Pre-Owned,872,False,0
Vintage Theodore Wool Sweater Women's M Knit Hong Kong 80’s Hidden Pockets NEW,7900,New (Other),,False,0
J.CREW Honeycomb Sweater Womens XS Camel Wool Angora Blend Cable Knit Crew Neck,2895,Pre-Owned,719,False,0
Vince Womens Cotton  Knit Striped Round Neck Pullover Sweater Top Navy Size XS,3749,Vince,695,False,0
Hot Topic Black White Evil Eye Hand Open Front Cardigan Women's S,3400,Pre-Owned,1196,False,0
Old Navy Striped Ribbed Knit Pullover Sweater Ivory Black Crew Neck XS Women,800,Pre-Owned,926,False,0
Gap Women's Ivory Cable Knit Pullover Sweater M Crew Neck Long Sleeve,2299,Pre-Owned,0,False,0
Maurices Gray Knit Button Cardigan Sweater V-Neck Pockets Women's XS Long Sleeve,1200,Pre-Owned,872,False,0
IrelandsEye Cable-Knit Open Front Cardigan Sweater Burgundy Women's Size L,5500,New (Other),1000,False,0
American Eagle Brown Cable-Knit Pullover Sweater Mock Neck S Women,1500,Brand New,926,False,0
Croft & Barrow Embroidered Floral Knit Cardigan Sweater Black Size L Women,930,Pre-Owned,872,False,0
Calvin Klein Sweater Mens L Blue Quarter Zip Stretch Long Sleeve Mock Neck Logo,1000,Pre-Owned,1200,False,0
Vince Womens Knit Round Neck 3/4 Sleeve Pullover Sweater Top Black Size M,2499,Vince,695,False,0
T Tahari Dark Green Knit Pullover Sweater Short Sleeve Mock Neck Size L,2397,New (Other),608,False,0
JohnPaulRichard Gray Red Striped Cowl Neck Short Sleeve Pullover Sweater L,2500,Pre-Owned,926,False,0
Jaclyn Smith White Cotton Acrylic Knit Collared Short Sleeve Pullover Sweater M,1000,Pre-Owned,926,False,0
Zenana Turtleneck Pullover Sweater Gray Knit Long Sleeve Women's Size S,800,Pre-Owned,872,False,0
Neiman Marcus Women's Sweater XL Black White Geometric Knit Crew Neck,2500,Pre-Owned,926,False,0
VINTAGE Chunky Knit Ivory Wool  Button Cardigan Sweater Size L Made in Korea,10000,Pre-Owned,615,False,0
Dazy Cable-Knit Cardigan Cottagecore Fall Sweater Brown Button Front Pockets Med,600,Pre-Owned,1000,False,0
SHEIN White Tight-Knit Pullover Sweater Mock Neck Sheer Balloon Sleeves Women,2700,Brand New,846,False,0
J.CREW Teddy Knit Pullover Sweater Brown L Crew Neck Long Sleeve,1600,Pre-Owned,872,False,0
Universal Thread Beige Knit Cardigan Sweater Open Front Pockets Women's Size S,1600,Pre-Owned,0,False,0
$115 Lauren Ralph Lauren Plus Size Floral Short Sleeve Cotton Blend Sweater 2X,9989,Brand New,643,False,0
American Eagle Olive Open-Knit Pullover Sweater Crew Neck Long Sleeve Size M,1000,Pre-Owned,926,False,0
Jules & Leopold Gray Cable-Knit V-Neck Pullover Sweater Women's XL,2200,Pre-Owned,651,False,0
Banana Republic Pink Soft Knit Pullover Sweater XXL Women's Long Sleeve,1600,Pre-Owned,651,False,0
Wild Fable Mauve Faux Fur Collar Tie Front Cardigan Sweater XXL Women's,2500,Pre-Owned,683,False,0
Petal Primrose Hooded Open-Knit Multicolor Cardigan Sweater XL Women,870,Pre-Owned,926,False,0
Lulus Black Ivory Collared Pullover Sweater Knit Long Sleeve V-Neck Size M,3499,Brand New,926,False,0
Uniqlo Wool Blend Knit Cardigan Sweater Beige Button Pocket Women's Size L,2000,Pre-Owned,926,False,0
AKA Premium Knitted Sweater with Chenille Crest,8500,Brand New,872,False,0
Autumn Cashmere Size M Grey Cashmere Silk Cardigan Drape Sweater,2500,Pre-Owned,1000,False,0
American Eagle Outfitters Navy Chunky Open-Front Cardigan,2900,Brand New,615,False,0
Smartwool Henley Sweater‎ Size XL NWT,12000,Brand New,999,False,0
